Section,Section Description,hts_number,Parsed Description
13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware",70,Glass and glassware
14,"Natural or Cultured Pearls, Precious or Semiprecious Stones, Precious Metals, Metals Clad With Precious Metal, and Articles Thereof; Imitation Jewelry; Coin",71,"Natural or cultured pearls, precious or semi-precious stones,precious metals, metals clad with precious metal and articles thereof; imitation jewelry; coin"
15,Base Metals and Articles of Base Metal,72,Iron and steel
15,Base Metals and Articles of Base Metal,73,Articles of iron or steel
15,Base Metals and Articles of Base Metal,74,Copper and articles thereof
15,Base Metals and Articles of Base Metal,75,Nickel and articles thereof
15,Base Metals and Articles of Base Metal,76,Aluminum and articles thereof
15,Base Metals and Articles of Base Metal,77,(Reserved for possible future use)
15,Base Metals and Articles of Base Metal,78,Lead and articles thereof
15,Base Metals and Articles of Base Metal,79,Zinc and articles thereof
15,Base Metals and Articles of Base Metal,80,Tin and articles thereof
15,Base Metals and Articles of Base Metal,81,Other base metals; cermets; articles thereof
15,Base Metals and Articles of Base Metal,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"
15,Base Metals and Articles of Base Metal,83,Miscellaneous articles of base metal
16,"Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
16,"Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",88,"Aircraft, spacecraft, and parts thereof"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",89,"Ships, boats and floating structures"
18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof",90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof"
18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof",91,Clocks and watches and parts thereof
18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof",92,Musical instruments; parts and accessories of such articles
19,Arms and Ammunition; Parts and Accessories Thereof,93,Arms and ammunition; parts and accessories thereof
20,Miscellaneous Manufactured Articles,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated sign illuminated nameplates and the like; prefabricated buildings"
20,Miscellaneous Manufactured Articles,95,"Toys, games and sports requisites; parts and accessories thereof"
20,Miscellaneous Manufactured Articles,96,Miscellaneous manufactured articles
21,"Works of Art, Collectors' Pieces and Antiques",97,"Works of art, collectors' pieces and antiques"
22,"Special Classification Provisions; Temporary Legislation; Temporary Modifications Proclaimed pursuant to Trade Agreements Legislation; Additional Import Restrictions Proclaimed Pursuant to Section 22 of the Agricultural Adjustment Act, As Amended",98,Special classification provisions
22,"Special Classification Provisions; Temporary Legislation; Temporary Modifications Proclaimed pursuant to Trade Agreements Legislation; Additional Import Restrictions Proclaimed Pursuant to Section 22 of the Agricultural Adjustment Act, As Amended",99,"Temporary legislation; temporary modifications proclaimed pursuant to trade agreements legislation; additional import restrictions proclaimed pursuant to section 22 of the Agricultural Adjustment Act, as amended"
